I_magnitude,period_days,I_band_amplitude,V_minus_I_color,star_type
13.679,12.7218273,0.492,0.9209999999999994,Cepheid
15.104,3.5841085,0.492,0.7170000000000005,Cepheid
15.33,3.1938979,0.473,0.7460000000000004,Cepheid
14.234,7.0705707,0.395,0.7479999999999993,Cepheid
15.318,3.5989663,0.422,0.8520000000000021,Cepheid
15.223,3.7262704,0.458,0.7929999999999975,Cepheid
15.733,3.8131712,0.297,1.1179999999999986,Cepheid
14.693,5.0449304,0.43,0.8019999999999996,Cepheid
16.127,2.0690647,0.494,0.7119999999999997,Cepheid
15.768,2.241141,0.451,0.7089999999999996,Cepheid
14.677,2.9189534,0.122,0.8490000000000002,Cepheid
15.568,2.6183089,0.545,0.6250000000000018,Cepheid
15.15,3.4495422,0.541,0.7309999999999999,Cepheid
16.63,1.2929977,0.434,0.6590000000000025,Cepheid
15.458,2.9711446,0.453,0.7260000000000009,Cepheid
14.694,5.2408547,0.367,0.7829999999999995,Cepheid
14.664,5.0723742,0.51,0.702,Cepheid
15.345,2.9886499,0.458,0.668000000000001,Cepheid
15.291,3.2211085,0.555,0.7249999999999979,Cepheid
15.203,3.6924247,0.281,0.7720000000000002,Cepheid
13.932,7.9260342,0.495,0.7809999999999988,Cepheid
15.947,2.0615215,0.445,0.7250000000000014,Cepheid
14.717,6.3241259,0.232,0.8819999999999997,Cepheid
14.872,4.4325522,0.595,0.6720000000000006,Cepheid
15.515,2.9171198,0.563,0.7620000000000005,Cepheid
13.695,10.4133257,0.542,0.7850000000000001,Cepheid
15.705,2.5325212,0.426,0.7329999999999988,Cepheid
15.434,2.9479126,0.409,0.6760000000000002,Cepheid
14.594,4.9424848,0.514,0.7210000000000001,Cepheid
15.521,2.7888937,0.466,0.7029999999999994,Cepheid
15.492,2.8739666,0.525,0.718,Cepheid
15.04,4.5068657,0.517,0.8440000000000012,Cepheid
12.864,10.4656437,0.205,1.1879999999999988,Cepheid
15.461,3.0289297,0.484,0.7599999999999998,Cepheid
15.208,2.9442107,0.269,0.6690000000000005,Cepheid
15.288,3.4096616,0.432,0.7519999999999989,Cepheid
